,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,América,17,12,4,1,40,14,+26,40,2.35,36.3,14.6,+21.7,+1.28,17,10,5,2,27,12,+15,35,2.06,26.1,16.8,+9.3,+0.55
1,2,Monterrey,17,11,3,3,34,18,+16,36,2.12,27.4,14.3,+13.1,+0.77,17,8,5,4,25,16,+9,29,1.71,19.6,20.5,-0.8,-0.05
2,3,UANL,17,10,6,1,38,18,+20,36,2.12,26.9,15.7,+11.2,+0.66,17,7,4,6,28,23,+5,25,1.47,24.2,23.8,+0.4,+0.03
3,4,Guadalajara,17,10,3,4,28,20,+8,33,1.94,24.2,18.3,+5.9,+0.35,17,7,4,6,18,19,-1,25,1.47,19.7,20.8,-1.1,-0.07
4,5,UNAM,17,11,5,1,32,12,+20,38,2.24,29.4,13.0,+16.4,+0.97,17,4,5,8,22,28,-6,17,1.00,19.2,26.9,-7.7,-0.45
5,6,Toluca,17,11,3,3,36,14,+22,36,2.12,34.1,16.8,+17.3,+1.02,17,3,8,6,25,28,-3,17,1.00,21.4,27.0,-5.6,-0.33
6,7,Pachuca,17,7,5,5,27,27,0,26,1.53,25.3,20.4,+4.9,+0.29,17,7,4,6,23,27,-4,25,1.47,23.2,27.0,-3.8,-0.23
7,8,Cruz Azul,17,8,2,7,25,23,+2,26,1.53,29.9,18.2,+11.7,+0.69,17,7,3,7,19,20,-1,24,1.41,22.9,21.9,+1.0,+0.06
8,9,León,17,9,3,5,25,18,+7,30,1.76,24.9,21.5,+3.4,+0.20,17,4,5,8,21,29,-8,17,1.00,22.6,21.3,+1.3,+0.07
9,10,Querétaro,17,3,8,6,18,21,-3,17,1.00,19.1,23.1,-4.0,-0.24,17,8,2,7,22,29,-7,26,1.53,19.2,28.4,-9.2,-0.54
10,11,Necaxa,17,6,5,6,24,24,0,23,1.35,22.9,19.9,+3.0,+0.17,17,4,7,6,24,32,-8,19,1.12,15.1,26.7,-11.7,-0.69
11,12,Atlético,17,8,2,7,34,26,+8,26,1.53,23.8,22.7,+1.2,+0.07,17,4,1,12,22,35,-13,13,0.76,18.7,27.7,-9.1,-0.53
12,13,Mazatlán,17,7,4,6,24,24,0,25,1.47,23.3,26.0,-2.7,-0.16,17,3,4,10,22,35,-13,13,0.76,22.0,26.8,-4.8,-0.28
13,14,Santos,17,8,2,7,24,25,-1,26,1.53,25.3,22.3,+3.0,+0.17,17,3,3,11,22,37,-15,12,0.71,19.2,33.0,-13.8,-0.81
14,15,Tijuana,17,7,6,4,31,23,+8,27,1.59,25.2,18.3,+6.9,+0.41,17,1,4,12,13,33,-20,7,0.41,16.2,30.8,-14.5,-0.85
15,16,FC Juárez,17,5,6,6,23,26,-3,21,1.24,20.5,24.1,-3.6,-0.21,17,4,1,12,20,34,-14,13,0.76,15.0,24.2,-9.1,-0.54
16,17,Atlas,17,5,4,8,18,22,-4,19,1.12,26.1,20.1,+6.0,+0.35,17,2,6,9,17,33,-16,12,0.71,14.8,27.0,-12.2,-0.72
17,18,Puebla,17,4,3,10,24,33,-9,15,0.88,20.1,27.7,-7.6,-0.45,17,4,3,10,18,35,-17,15,0.88,17.8,34.3,-16.4,-0.97
