,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Santos,18,11,4,3,40,25,+15,37,2.06,36.4,21.4,+15.0,+0.84,→ Quarter-finals
1,2,León,18,9,6,3,38,23,+15,33,1.83,29.5,27.2,+2.3,+0.13,→ Quarter-finals
2,3,UANL,18,8,8,2,26,14,+12,32,1.78,23.5,17.9,+5.7,+0.31,→ Quarter-finals
3,4,Querétaro,18,9,4,5,31,19,+12,31,1.72,29.8,21.4,+8.4,+0.46,→ Quarter-finals
4,5,Necaxa,18,9,4,5,33,23,+10,31,1.72,24.2,23.5,+0.7,+0.04,→ Quarter-finals
5,6,América,18,8,7,3,32,22,+10,31,1.72,28.6,20.8,+7.8,+0.43,→ Quarter-finals
6,7,Morelia,18,8,3,7,31,26,+5,27,1.50,25.4,25.6,-0.3,-0.01,→ Quarter-finals
7,8,Monterrey,18,8,3,7,27,23,+4,27,1.50,30.6,23.7,+6.8,+0.38,→ Quarter-finals
8,9,Pachuca,18,7,4,7,32,26,+6,25,1.39,31.7,25.8,+6.0,+0.33,
9,10,Guadalajara,18,7,4,7,28,28,0,25,1.39,21.3,25.6,-4.3,-0.24,
10,11,Tijuana,18,7,3,8,26,36,-10,24,1.33,24.4,33.3,-8.9,-0.49,
11,12,Cruz Azul,18,5,8,5,25,24,+1,23,1.28,25.3,17.8,+7.5,+0.42,
12,13,UNAM,18,6,5,7,21,20,+1,23,1.28,27.3,21.0,+6.3,+0.35,
13,14,Atlas,18,6,3,9,19,26,-7,21,1.17,17.5,31.1,-13.7,-0.76,
14,15,Atlético,18,6,2,10,22,31,-9,20,1.11,19.0,25.3,-6.4,-0.35,
15,16,FC Juárez,18,5,3,10,17,27,-10,18,1.00,19.2,24.8,-5.7,-0.31,
16,17,Toluca,18,4,5,9,16,26,-10,17,0.94,15.7,27.0,-11.2,-0.62,
17,18,Puebla,18,4,5,9,20,31,-11,17,0.94,24.1,25.3,-1.2,-0.07,
18,19,Veracruz,18,1,5,12,11,45,-34,8,0.44,17.4,32.3,-14.9,-0.83,
