,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Pachuca,17,12,2,3,30,15,+15,38,2.24,24.1,18.3,+5.8,+0.34,→ Quarter-finals
1,2,UANL,17,10,3,4,30,20,+10,33,1.94,28.8,17.6,+11.2,+0.66,→ Quarter-finals
2,3,Atlas,17,7,6,4,21,15,+6,27,1.59,16.9,18.3,-1.4,-0.09,→ Quarter-finals
3,4,América,17,7,5,5,24,17,+7,26,1.53,24.6,14.0,+10.5,+0.62,→ Quarter-finals
4,5,Puebla,17,7,5,5,25,19,+6,26,1.53,26.1,26.8,-0.7,-0.04,→ Reclassification
5,6,Guadalajara,17,7,5,5,25,21,+4,26,1.53,18.3,15.6,+2.7,+0.16,→ Reclassification
6,7,Monterrey,17,7,5,5,21,17,+4,26,1.53,29.1,15.8,+13.3,+0.78,→ Reclassification
7,8,Cruz Azul,17,7,4,6,20,17,+3,25,1.47,19.1,19.1,-0.1,0.00,→ Reclassification
8,9,Necaxa,17,7,2,8,21,21,0,23,1.35,17.8,23.1,-5.3,-0.31,→ Reclassification
9,10,Atlético,17,7,2,8,21,22,-1,23,1.35,24.3,22.6,+1.7,+0.10,→ Reclassification
10,11,UNAM,17,6,4,7,24,21,+3,22,1.29,20.0,22.8,-2.8,-0.16,→ Reclassification
11,12,Mazatlán,17,6,3,8,20,24,-4,21,1.24,17.5,25.7,-8.2,-0.48,→ Reclassification
12,13,León,17,5,6,6,17,22,-5,21,1.24,23.5,22.1,+1.4,+0.08,
13,14,Santos,17,5,5,7,25,25,0,20,1.18,20.7,24.6,-3.8,-0.23,
14,15,Toluca,17,5,4,8,21,36,-15,19,1.12,17.0,30.9,-13.9,-0.82,
15,16,Querétaro,17,3,8,6,18,21,-3,17,1.00,21.0,21.6,-0.6,-0.04,
16,17,Tijuana,17,4,5,8,14,26,-12,17,1.00,22.5,26.7,-4.1,-0.24,
17,18,FC Juárez,17,3,2,12,10,28,-18,11,0.65,14.8,20.4,-5.7,-0.33,
