,dayofweek,home_team,home_xg,score,away_xg,away_team
0,Sáb,Atlético,1.4,0–2,2.2,UNAM
1,Sáb,Pachuca,2.8,1–3,1.8,León
2,Vie,Puebla,1.1,1–3,1.4,Tijuana
3,Vie,Atlas,1.0,1–0,1.5,FC Juárez
4,Dom,Toluca,0.7,0–2,1.5,Querétaro
5,Dom,Santos,2.3,3–0,0.4,Guadalajara
6,Sáb,América,2.7,4–2,1.5,Monterrey
7,Sáb,Necaxa,1.1,0–0,1.5,Cruz Azul
8,Sáb,UANL,1.7,4–2,1.5,Morelia
9,Vie,Morelia,1.7,0–1,0.6,Atlas
10,Vie,Veracruz,1.6,3–3,0.8,Pachuca
11,Dom,UNAM,1.8,2–0,0.1,Necaxa
12,Dom,Atlético,1.0,1–0,1.1,Monterrey
13,Dom,Santos,2.6,3–0,0.3,FC Juárez
14,Sáb,León,2.2,0–0,0.3,América
15,Sáb,Tijuana,1.9,1–1,1.3,Querétaro
16,Sáb,Cruz Azul,1.9,1–1,1.0,Toluca
17,Dom,Guadalajara,1.8,2–0,0.8,UANL
18,Sáb,Querétaro,1.6,3–0,0.5,Cruz Azul
19,Vie,Puebla,1.9,1–1,0.9,Guadalajara
20,Vie,Atlas,1.8,1–2,3.0,Santos
21,Dom,UNAM,1.8,0–1,1.0,UANL
22,Sáb,América,2.7,3–1,0.7,Tijuana
23,Sáb,Pachuca,1.4,1–2,2.0,Morelia
24,Sáb,Necaxa,3.0,7–0,0.3,Veracruz
25,Sáb,Monterrey,2.9,3–2,1.0,León
26,Dom,FC Juárez,1.3,2–0,0.4,Toluca
27,Sáb,Cruz Azul,1.9,2–0,0.6,FC Juárez
28,Sáb,Querétaro,2.4,2–1,1.4,Pachuca
29,Vie,Morelia,1.0,0–1,1.5,Monterrey
30,Vie,Tijuana,1.1,1–0,0.3,UNAM
31,Vie,Veracruz,1.7,1–2,2.1,Atlas
32,Dom,Toluca,1.0,0–1,0.3,América
33,Dom,Santos,2.7,4–1,1.5,Puebla
34,Sáb,UANL,1.2,3–1,0.8,Necaxa
35,Sáb,Guadalajara,2.9,3–0,0.8,Atlético
36,Sáb,Atlético,0.4,1–1,0.3,UANL
37,Vie,Puebla,1.2,0–4,2.5,Pachuca
38,Vie,Atlas,0.3,1–3,1.9,Cruz Azul
39,Dom,UNAM,2.9,2–0,0.6,Veracruz
40,Dom,Necaxa,2.3,3–0,2.3,Santos
41,Sáb,León,3.8,4–3,1.8,Guadalajara
42,Sáb,América,0.8,1–0,1.2,Morelia
43,Sáb,Monterrey,1.5,2–0,0.7,Toluca
44,Dom,FC Juárez,0.5,0–2,2.0,Querétaro
45,Sáb,Querétaro,2.0,0–4,2.1,León
46,Vie,Veracruz,1.1,1–2,1.6,Atlético
47,Vie,Morelia,0.2,2–0,0.7,UNAM
48,Vie,Santos,1.7,2–1,1.8,Monterrey
49,Dom,Toluca,1.3,2–0,0.9,Tijuana
50,Dom,Guadalajara,1.3,1–2,0.5,Necaxa
51,Sáb,Pachuca,2.7,3–1,0.4,Atlas
52,Sáb,Cruz Azul,1.1,1–1,1.6,Puebla
53,Sáb,UANL,0.8,1–1,0.5,América
54,Mar,Atlético,1.6,1–1,1.3,Morelia
55,Mar,Atlas,0.6,1–1,2.2,UANL
56,Mar,Veracruz,1.3,0–5,2.3,Querétaro
57,Mar,América,1.5,1–1,1.0,Pachuca
58,Mié,León,1.1,2–2,2.4,Santos
59,Mié,Tijuana,1.0,3–2,1.8,Cruz Azul
60,Mié,Necaxa,1.1,1–1,0.4,Toluca
61,Jue,Puebla,1.1,2–1,1.5,FC Juárez
62,Jue,Monterrey,2.0,2–0,1.2,UNAM
63,Sáb,Necaxa,1.7,3–2,1.0,Tijuana
64,Vie,Morelia,2.1,1–0,0.2,Veracruz
65,Vie,Atlas,2.3,3–0,1.6,América
66,Dom,UNAM,1.7,2–1,0.2,Toluca
67,Dom,Querétaro,0.9,1–1,0.8,Puebla
68,Sáb,Pachuca,0.8,0–2,1.1,Atlético
69,Sáb,UANL,2.6,1–1,0.7,León
70,Sáb,Cruz Azul,1.1,1–1,0.5,Guadalajara
71,Dom,FC Juárez,1.1,1–0,0.4,Monterrey
72,Sáb,Monterrey,1.0,0–2,1.7,Necaxa
73,Vie,Puebla,0.7,1–3,1.1,Atlético
74,Vie,Tijuana,1.5,1–1,2.4,UANL
75,Vie,Veracruz,0.6,0–0,0.7,Cruz Azul
76,Dom,Toluca,1.2,0–2,1.4,Morelia
77,Dom,Santos,1.9,2–2,1.0,Pachuca
78,Sáb,León,2.7,3–1,0.2,FC Juárez
79,Sáb,Guadalajara,0.6,1–0,0.6,Atlas
80,Sáb,América,1.4,1–1,0.7,UNAM
81,Sáb,Monterrey,1.8,3–2,1.9,Puebla
82,Sáb,Atlético,1.9,2–3,2.3,Santos
83,Sáb,Necaxa,1.2,2–4,2.5,León
84,Vie,Atlas,1.6,0–1,1.2,Toluca
85,Vie,Morelia,1.3,1–0,1.8,Guadalajara
86,Dom,UNAM,0.8,1–1,1.5,Cruz Azul
87,Sáb,Pachuca,4.3,4–1,1.2,Tijuana
88,Sáb,América,2.5,2–2,1.3,Querétaro
89,Dom,FC Juárez,1.2,2–0,0.3,Veracruz
90,Mar,Querétaro,1.1,1–2,0.8,Necaxa
91,Mar,UANL,0.9,0–1,0.5,Puebla
92,Mar,León,1.8,1–1,0.6,Atlas
93,Mar,Guadalajara,1.0,2–4,1.7,Pachuca
94,Mié,FC Juárez,1.1,1–1,1.2,América
95,Mié,Santos,2.6,5–0,0.3,Veracruz
96,Mié,Tijuana,3.1,3–2,1.4,Morelia
97,Mié,Cruz Azul,1.9,1–1,0.8,Monterrey
98,Jue,Toluca,2.3,3–1,0.7,Atlético
99,Sáb,Pachuca,0.5,2–0,2.5,Cruz Azul
100,Vie,Puebla,1.8,2–1,0.4,León
101,Vie,Atlas,0.6,2–0,1.4,Querétaro
102,Dom,UNAM,1.5,2–0,0.6,Santos
103,Dom,Atlético,1.5,2–3,1.0,Tijuana
104,Sáb,Necaxa,0.9,0–0,0.5,FC Juárez
105,Sáb,Monterrey,1.2,0–2,0.7,UANL
106,Sáb,América,2.9,4–1,0.2,Guadalajara
107,Dom,Veracruz,1.5,1–1,0.5,Toluca
