dayofweek,home_team,score,away_team,home_goals,away_goals,result
Sáb,Atlético,0–2,UNAM,0,2,0
Sáb,Pachuca,1–3,León,1,3,0
Vie,Puebla,1–3,Tijuana,1,3,0
Vie,Atlas,1–0,FC Juárez,1,0,1
Dom,Toluca,0–2,Querétaro,0,2,0
Dom,Santos,3–0,Guadalajara,3,0,1
Sáb,América,4–2,Monterrey,4,2,1
Sáb,Necaxa,0–0,Cruz Azul,0,0,-1
Sáb,UANL,4–2,Morelia,4,2,1
Vie,Morelia,0–1,Atlas,0,1,0
Vie,Veracruz,3–3,Pachuca,3,3,-1
Dom,UNAM,2–0,Necaxa,2,0,1
Dom,Atlético,1–0,Monterrey,1,0,1
Dom,Santos,3–0,FC Juárez,3,0,1
Sáb,León,0–0,América,0,0,-1
Sáb,Tijuana,1–1,Querétaro,1,1,-1
Sáb,Cruz Azul,1–1,Toluca,1,1,-1
Dom,Guadalajara,2–0,UANL,2,0,1
Sáb,Querétaro,3–0,Cruz Azul,3,0,1
Vie,Puebla,1–1,Guadalajara,1,1,-1
Vie,Atlas,1–2,Santos,1,2,0
Dom,UNAM,0–1,UANL,0,1,0
Sáb,América,3–1,Tijuana,3,1,1
Sáb,Pachuca,1–2,Morelia,1,2,0
Sáb,Necaxa,7–0,Veracruz,7,0,1
Sáb,Monterrey,3–2,León,3,2,1
Dom,FC Juárez,2–0,Toluca,2,0,1
Sáb,Cruz Azul,2–0,FC Juárez,2,0,1
Sáb,Querétaro,2–1,Pachuca,2,1,1
Vie,Morelia,0–1,Monterrey,0,1,0
Vie,Tijuana,1–0,UNAM,1,0,1
Vie,Veracruz,1–2,Atlas,1,2,0
Dom,Toluca,0–1,América,0,1,0
Dom,Santos,4–1,Puebla,4,1,1
Sáb,UANL,3–1,Necaxa,3,1,1
Sáb,Guadalajara,3–0,Atlético,3,0,1
Sáb,Atlético,1–1,UANL,1,1,-1
Vie,Puebla,0–4,Pachuca,0,4,0
Vie,Atlas,1–3,Cruz Azul,1,3,0
Dom,UNAM,2–0,Veracruz,2,0,1
Dom,Necaxa,3–0,Santos,3,0,1
Sáb,León,4–3,Guadalajara,4,3,1
Sáb,América,1–0,Morelia,1,0,1
Sáb,Monterrey,2–0,Toluca,2,0,1
Dom,FC Juárez,0–2,Querétaro,0,2,0
Sáb,Querétaro,0–4,León,0,4,0
Vie,Veracruz,1–2,Atlético,1,2,0
Vie,Morelia,2–0,UNAM,2,0,1
Vie,Santos,2–1,Monterrey,2,1,1
Dom,Toluca,2–0,Tijuana,2,0,1
Dom,Guadalajara,1–2,Necaxa,1,2,0
Sáb,Pachuca,3–1,Atlas,3,1,1
Sáb,Cruz Azul,1–1,Puebla,1,1,-1
Sáb,UANL,1–1,América,1,1,-1
Mar,Atlético,1–1,Morelia,1,1,-1
Mar,Atlas,1–1,UANL,1,1,-1
Mar,Veracruz,0–5,Querétaro,0,5,0
Mar,América,1–1,Pachuca,1,1,-1
Mié,León,2–2,Santos,2,2,-1
Mié,Tijuana,3–2,Cruz Azul,3,2,1
Mié,Necaxa,1–1,Toluca,1,1,-1
Jue,Puebla,2–1,FC Juárez,2,1,1
Jue,Monterrey,2–0,UNAM,2,0,1
Sáb,Necaxa,3–2,Tijuana,3,2,1
Vie,Morelia,1–0,Veracruz,1,0,1
Vie,Atlas,3–0,América,3,0,1
Dom,UNAM,2–1,Toluca,2,1,1
Dom,Querétaro,1–1,Puebla,1,1,-1
Sáb,Pachuca,0–2,Atlético,0,2,0
Sáb,UANL,1–1,León,1,1,-1
Sáb,Cruz Azul,1–1,Guadalajara,1,1,-1
Dom,FC Juárez,1–0,Monterrey,1,0,1
Sáb,Monterrey,0–2,Necaxa,0,2,0
Vie,Puebla,1–3,Atlético,1,3,0
Vie,Tijuana,1–1,UANL,1,1,-1
Vie,Veracruz,0–0,Cruz Azul,0,0,-1
Dom,Toluca,0–2,Morelia,0,2,0
Dom,Santos,2–2,Pachuca,2,2,-1
Sáb,León,3–1,FC Juárez,3,1,1
Sáb,Guadalajara,1–0,Atlas,1,0,1
Sáb,América,1–1,UNAM,1,1,-1
Sáb,Monterrey,3–2,Puebla,3,2,1
Sáb,Atlético,2–3,Santos,2,3,0
Sáb,Necaxa,2–4,León,2,4,0
Vie,Atlas,0–1,Toluca,0,1,0
Vie,Morelia,1–0,Guadalajara,1,0,1
Dom,UNAM,1–1,Cruz Azul,1,1,-1
Sáb,Pachuca,4–1,Tijuana,4,1,1
Sáb,América,2–2,Querétaro,2,2,-1
Dom,FC Juárez,2–0,Veracruz,2,0,1
Mar,Querétaro,1–2,Necaxa,1,2,0
Mar,UANL,0–1,Puebla,0,1,0
Mar,León,1–1,Atlas,1,1,-1
Mar,Guadalajara,2–4,Pachuca,2,4,0
Mié,FC Juárez,1–1,América,1,1,-1
Mié,Santos,5–0,Veracruz,5,0,1
Mié,Tijuana,3–2,Morelia,3,2,1
Mié,Cruz Azul,1–1,Monterrey,1,1,-1
Jue,Toluca,3–1,Atlético,3,1,1
Sáb,Pachuca,2–0,Cruz Azul,2,0,1
