dayofweek,home_team,score,away_team,home_goals,away_goals,result,home_goals_total_home,away_goals_total_home,home_conceded_home,away_conceded_home,goalsScored_home,goalsConceded_home,home_goals_total_away,away_goals_total_away,home_conceded_away,away_conceded_away,goalsScored_away,goalsConceded_away
Sáb,Atlético,0–2,UNAM,0,2,0,109,106,136,150,215,286,294,206,204,301,500,505
Sáb,Pachuca,1–3,León,1,3,0,329,249,197,272,578,469,332,240,225,278,572,503
Vie,Puebla,1–3,Tijuana,1,3,0,242,188,242,271,430,513,247,160,200,308,407,508
Vie,Atlas,1–0,FC Juárez,1,0,1,198,201,207,268,399,475,96,71,107,145,167,252
Dom,Toluca,0–2,Querétaro,0,2,0,332,212,216,283,544,499,215,184,206,294,399,500
Dom,Santos,3–0,Guadalajara,3,0,1,321,220,214,297,541,511,233,212,204,222,445,426
Sáb,América,4–2,Monterrey,4,2,1,363,310,198,246,673,444,354,254,181,257,608,438
Sáb,Necaxa,0–0,Cruz Azul,0,0,-1,181,164,174,202,345,376,264,211,193,227,475,420
Sáb,UANL,4–2,Morelia,4,2,1,367,253,189,214,620,403,148,138,147,177,286,324
Vie,Morelia,0–1,Atlas,0,1,0,148,138,147,177,286,324,198,201,207,268,399,475
Vie,Veracruz,3–3,Pachuca,3,3,-1,109,69,138,191,178,329,329,249,197,272,578,469
Dom,UNAM,2–0,Necaxa,2,0,1,294,206,204,301,500,505,181,164,174,202,345,376
Dom,Atlético,1–0,Monterrey,1,0,1,109,106,136,150,215,286,354,254,181,257,608,438
Dom,Santos,3–0,FC Juárez,3,0,1,321,220,214,297,541,511,96,71,107,145,167,252
Sáb,León,0–0,América,0,0,-1,332,240,225,278,572,503,363,310,198,246,673,444
Sáb,Tijuana,1–1,Querétaro,1,1,-1,247,160,200,308,407,508,215,184,206,294,399,500
Sáb,Cruz Azul,1–1,Toluca,1,1,-1,264,211,193,227,475,420,332,212,216,283,544,499
Dom,Guadalajara,2–0,UANL,2,0,1,233,212,204,222,445,426,367,253,189,214,620,403
Sáb,Querétaro,3–0,Cruz Azul,3,0,1,215,184,206,294,399,500,264,211,193,227,475,420
Vie,Puebla,1–1,Guadalajara,1,1,-1,242,188,242,271,430,513,233,212,204,222,445,426
Vie,Atlas,1–2,Santos,1,2,0,198,201,207,268,399,475,321,220,214,297,541,511
Dom,UNAM,0–1,UANL,0,1,0,294,206,204,301,500,505,367,253,189,214,620,403
Sáb,América,3–1,Tijuana,3,1,1,363,310,198,246,673,444,247,160,200,308,407,508
Sáb,Pachuca,1–2,Morelia,1,2,0,329,249,197,272,578,469,148,138,147,177,286,324
Sáb,Necaxa,7–0,Veracruz,7,0,1,181,164,174,202,345,376,109,69,138,191,178,329
Sáb,Monterrey,3–2,León,3,2,1,354,254,181,257,608,438,332,240,225,278,572,503
Dom,FC Juárez,2–0,Toluca,2,0,1,96,71,107,145,167,252,332,212,216,283,544,499
Sáb,Cruz Azul,2–0,FC Juárez,2,0,1,264,211,193,227,475,420,96,71,107,145,167,252
Sáb,Querétaro,2–1,Pachuca,2,1,1,215,184,206,294,399,500,329,249,197,272,578,469
Vie,Morelia,0–1,Monterrey,0,1,0,148,138,147,177,286,324,354,254,181,257,608,438
Vie,Tijuana,1–0,UNAM,1,0,1,247,160,200,308,407,508,294,206,204,301,500,505
Vie,Veracruz,1–2,Atlas,1,2,0,109,69,138,191,178,329,198,201,207,268,399,475
Dom,Toluca,0–1,América,0,1,0,332,212,216,283,544,499,363,310,198,246,673,444
Dom,Santos,4–1,Puebla,4,1,1,321,220,214,297,541,511,242,188,242,271,430,513
Sáb,UANL,3–1,Necaxa,3,1,1,367,253,189,214,620,403,181,164,174,202,345,376
Sáb,Guadalajara,3–0,Atlético,3,0,1,233,212,204,222,445,426,109,106,136,150,215,286
Sáb,Atlético,1–1,UANL,1,1,-1,109,106,136,150,215,286,367,253,189,214,620,403
Vie,Puebla,0–4,Pachuca,0,4,0,242,188,242,271,430,513,329,249,197,272,578,469
Vie,Atlas,1–3,Cruz Azul,1,3,0,198,201,207,268,399,475,264,211,193,227,475,420
Dom,UNAM,2–0,Veracruz,2,0,1,294,206,204,301,500,505,109,69,138,191,178,329
Dom,Necaxa,3–0,Santos,3,0,1,181,164,174,202,345,376,321,220,214,297,541,511
Sáb,León,4–3,Guadalajara,4,3,1,332,240,225,278,572,503,233,212,204,222,445,426
Sáb,América,1–0,Morelia,1,0,1,363,310,198,246,673,444,148,138,147,177,286,324
Sáb,Monterrey,2–0,Toluca,2,0,1,354,254,181,257,608,438,332,212,216,283,544,499
Dom,FC Juárez,0–2,Querétaro,0,2,0,96,71,107,145,167,252,215,184,206,294,399,500
Sáb,Querétaro,0–4,León,0,4,0,215,184,206,294,399,500,332,240,225,278,572,503
Vie,Veracruz,1–2,Atlético,1,2,0,109,69,138,191,178,329,109,106,136,150,215,286
Vie,Morelia,2–0,UNAM,2,0,1,148,138,147,177,286,324,294,206,204,301,500,505
Vie,Santos,2–1,Monterrey,2,1,1,321,220,214,297,541,511,354,254,181,257,608,438
