dayofweek,home_team,score,away_team
Sáb,Atlético,0–2,UNAM
Sáb,Pachuca,1–3,León
Vie,Puebla,1–3,Tijuana
Vie,Atlas,1–0,FC Juárez
Dom,Toluca,0–2,Querétaro
Dom,Santos,3–0,Guadalajara
Sáb,América,4–2,Monterrey
Sáb,Necaxa,0–0,Cruz Azul
Sáb,UANL,4–2,Morelia
Vie,Morelia,0–1,Atlas
Vie,Veracruz,3–3,Pachuca
Dom,UNAM,2–0,Necaxa
Dom,Atlético,1–0,Monterrey
Dom,Santos,3–0,FC Juárez
Sáb,León,0–0,América
Sáb,Tijuana,1–1,Querétaro
Sáb,Cruz Azul,1–1,Toluca
Dom,Guadalajara,2–0,UANL
Sáb,Querétaro,3–0,Cruz Azul
Vie,Puebla,1–1,Guadalajara
Vie,Atlas,1–2,Santos
Dom,UNAM,0–1,UANL
Sáb,América,3–1,Tijuana
Sáb,Pachuca,1–2,Morelia
Sáb,Necaxa,7–0,Veracruz
Sáb,Monterrey,3–2,León
Dom,FC Juárez,2–0,Toluca
Sáb,Cruz Azul,2–0,FC Juárez
Sáb,Querétaro,2–1,Pachuca
Vie,Morelia,0–1,Monterrey
Vie,Tijuana,1–0,UNAM
Vie,Veracruz,1–2,Atlas
Dom,Toluca,0–1,América
Dom,Santos,4–1,Puebla
Sáb,UANL,3–1,Necaxa
Sáb,Guadalajara,3–0,Atlético
Sáb,Atlético,1–1,UANL
Vie,Puebla,0–4,Pachuca
Vie,Atlas,1–3,Cruz Azul
Dom,UNAM,2–0,Veracruz
Dom,Necaxa,3–0,Santos
Sáb,León,4–3,Guadalajara
Sáb,América,1–0,Morelia
Sáb,Monterrey,2–0,Toluca
Dom,FC Juárez,0–2,Querétaro
Sáb,Querétaro,0–4,León
Vie,Veracruz,1–2,Atlético
Vie,Morelia,2–0,UNAM
Vie,Santos,2–1,Monterrey
Dom,Toluca,2–0,Tijuana
Dom,Guadalajara,1–2,Necaxa
Sáb,Pachuca,3–1,Atlas
Sáb,Cruz Azul,1–1,Puebla
Sáb,UANL,1–1,América
Mar,Atlético,1–1,Morelia
Mar,Atlas,1–1,UANL
Mar,Veracruz,0–5,Querétaro
Mar,América,1–1,Pachuca
Mié,León,2–2,Santos
Mié,Tijuana,3–2,Cruz Azul
Mié,Necaxa,1–1,Toluca
Jue,Puebla,2–1,FC Juárez
Jue,Monterrey,2–0,UNAM
Sáb,Necaxa,3–2,Tijuana
Vie,Morelia,1–0,Veracruz
Vie,Atlas,3–0,América
Dom,UNAM,2–1,Toluca
Dom,Querétaro,1–1,Puebla
Sáb,Pachuca,0–2,Atlético
Sáb,UANL,1–1,León
Sáb,Cruz Azul,1–1,Guadalajara
Dom,FC Juárez,1–0,Monterrey
Sáb,Monterrey,0–2,Necaxa
Vie,Puebla,1–3,Atlético
Vie,Tijuana,1–1,UANL
Vie,Veracruz,0–0,Cruz Azul
Dom,Toluca,0–2,Morelia
Dom,Santos,2–2,Pachuca
Sáb,León,3–1,FC Juárez
Sáb,Guadalajara,1–0,Atlas
Sáb,América,1–1,UNAM
Sáb,Monterrey,3–2,Puebla
Sáb,Atlético,2–3,Santos
Sáb,Necaxa,2–4,León
Vie,Atlas,0–1,Toluca
Vie,Morelia,1–0,Guadalajara
Dom,UNAM,1–1,Cruz Azul
Sáb,Pachuca,4–1,Tijuana
Sáb,América,2–2,Querétaro
Dom,FC Juárez,2–0,Veracruz
Mar,Querétaro,1–2,Necaxa
Mar,UANL,0–1,Puebla
